constructorResultsId,raceId,constructorId,points,status,driver1,driver2
1260,139,ferrari,16,\N,10,6
1261,139,mclaren,4,\N,4,0
1262,139,williams,3,\N,3,0
1266,139,sauber,0,\N,0,0
1270,140,ferrari,16,\N,10,6
1271,140,mclaren,4,\N,4,0
1272,140,williams,3,\N,3,0
1275,140,sauber,0,\N,0,0
1280,141,ferrari,14,\N,10,4
1281,141,mclaren,6,\N,6,0
1282,141,sauber,4,\N,3,1
1290,141,williams,0,\N,0,0
1291,142,ferrari,16,\N,10,6
1292,142,mclaren,5,\N,4,1
1294,142,williams,2,\N,2,0
1301,142,sauber,0,\N,0,0
1302,143,mclaren,10,\N,10,0
1303,143,ferrari,6,\N,6,0
1304,143,sauber,4,\N,4,0
1310,143,williams,0,\N,0,0
1313,144,williams,10,\N,10,0
1314,144,mclaren,9,\N,6,3
1315,144,ferrari,4,\N,4,0
1317,144,sauber,0,\N,0,0
1324,145,ferrari,10,\N,10,0
1325,145,williams,6,\N,6,0
1328,145,mclaren,2,\N,2,0
1329,145,sauber,1,\N,1,0
1335,146,mclaren,10,\N,10,0
1336,146,ferrari,10,\N,6,4
1337,146,sauber,3,\N,3,0
1343,146,williams,0,\N,0,0
1346,147,ferrari,16,\N,10,6
1349,147,mclaren,2,\N,2,0
1353,147,sauber,0,\N,0,0
1354,147,williams,0,\N,0,0
1357,148,williams,10,\N,10,0
1358,148,ferrari,6,\N,6,0
1359,148,mclaren,4,\N,4,0
1360,148,sauber,3,\N,3,0
1368,149,ferrari,12,\N,10,2
1369,149,williams,9,\N,6,3
1370,149,mclaren,5,\N,4,1
1373,149,sauber,0,\N,0,0
1379,150,ferrari,14,\N,10,4
1380,150,williams,6,\N,6,0
1381,150,mclaren,3,\N,3,0
1383,150,sauber,1,\N,1,0
1390,151,mclaren,10,\N,10,0
1391,151,ferrari,10,\N,6,4
1392,151,williams,3,\N,3,0
1393,151,sauber,3,\N,2,1
1401,152,williams,10,\N,10,0
1402,152,ferrari,6,\N,6,0
1409,152,mclaren,0,\N,0,0
1410,152,sauber,0,\N,0,0
1412,153,ferrari,16,\N,10,6
1413,153,mclaren,6,\N,4,2
1414,153,williams,3,\N,3,0
1415,153,sauber,1,\N,1,0
1423,154,ferrari,12,\N,10,2
1424,154,mclaren,9,\N,6,3
1427,154,williams,0,\N,0,0
1433,154,sauber,0,\N,0,0
1434,155,williams,14,\N,10,4
1435,155,ferrari,9,\N,6,3
1438,155,sauber,0,\N,0,0
